epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
53,0.8464,0.372,0.8083,0.9097,0.8933,0.6526,0.5774,0.6437,0.7369,0.7467,0.804,0.5906,0.7758,0.8624,0.7717,0.7723,0.4961,0.7674,0.791,0.82,0.7651,0.4725,0.7358,0.8227,0.8203,0.9456,0.6188269257545471,0.7751392722129822,0.9597,0.7681,0.5017,0.7462,0.8245,0.8104
54,0.8487,0.3737,0.8117,0.9089,0.8927,0.7044,0.5321,0.6808,0.7703,0.783,0.811,0.5791,0.7828,0.8664,0.7777,0.7791,0.4892,0.7761,0.7933,0.8268,0.7548,0.4613,0.7273,0.8357,0.8251,0.9291,0.618286669254303,0.7755282521247864,0.9756,0.7796,0.4871,0.7557,0.8349,0.8211
55,0.8494,0.3678,0.8123,0.9094,0.894,0.6668,0.5617,0.6516,0.7427,0.7588,0.8072,0.5752,0.7807,0.8575,0.7807,0.7778,0.4918,0.7751,0.7929,0.8247,0.754,0.4612,0.7267,0.8352,0.8244,0.9415,0.6116035580635071,0.7780200839042664,0.9914,0.771,0.4915,0.7493,0.8275,0.8165
56,0.8523,0.3674,0.8164,0.9092,0.8947,0.6806,0.5457,0.6637,0.7568,0.7701,0.8033,0.5683,0.7805,0.8448,0.7811,0.7791,0.4901,0.7792,0.7914,0.826,0.7568,0.4563,0.7289,0.8293,0.827,0.9476,0.619288444519043,0.7744709253311157,1.0074,0.7744,0.4856,0.7537,0.8263,0.8198
57,0.8511,0.3669,0.8146,0.9095,0.8942,0.6534,0.5872,0.6439,0.7497,0.7399,0.8128,0.5736,0.783,0.8742,0.7766,0.7789,0.4899,0.7774,0.7925,0.826,0.7561,0.4564,0.7282,0.8297,0.8267,0.9312,0.6124841570854187,0.7775472402572632,1.0232,0.7705,0.4948,0.7494,0.8311,0.8127
58,0.8532,0.3653,0.8176,0.9094,0.8949,0.7067,0.5102,0.6866,0.7521,0.7973,0.7819,0.5862,0.7603,0.8248,0.7847,0.7803,0.4892,0.781,0.7915,0.8268,0.7599,0.4538,0.7314,0.8383,0.8285,1.0523,0.6116069555282593,0.7784509658813477,1.0409,0.7764,0.4809,0.7554,0.8232,0.8264
59,0.8503,0.3667,0.8135,0.9096,0.8939,0.6592,0.5726,0.6477,0.7438,0.7509,0.7794,0.5755,0.7576,0.8255,0.7828,0.7796,0.49,0.7761,0.7941,0.8259,0.771,0.468,0.7441,0.8185,0.82,0.9422,0.6088404059410095,0.7779961228370667,1.0568,0.7679,0.4946,0.7478,0.8183,0.8147
60,0.8519,0.3618,0.8154,0.9102,0.8954,0.6957,0.5359,0.6776,0.7842,0.7781,0.7819,0.5868,0.7605,0.8227,0.7755,0.7783,0.4929,0.775,0.7932,0.825,0.7564,0.4569,0.7285,0.8316,0.8269,1.395,0.6113189458847046,0.7780839204788208,1.0802,0.7728,0.4869,0.7514,0.8284,0.8202
61,0.8532,0.3604,0.817,0.9102,0.8959,0.7341,0.5005,0.7102,0.7812,0.8061,0.8086,0.565,0.7807,0.8649,0.7842,0.7782,0.4948,0.7764,0.7924,0.8247,0.7546,0.4617,0.7262,0.8297,0.8232,1.8902,0.6094938516616821,0.7784130573272705,1.1118,0.7857,0.4765,0.7621,0.8357,0.8268
62,0.8539,0.3604,0.8183,0.9099,0.8953,0.651,0.5832,0.6435,0.7457,0.7412,0.8131,0.5771,0.7861,0.8629,0.7772,0.7821,0.4899,0.7817,0.7935,0.8278,0.7796,0.4571,0.7515,0.829,0.8264,1.6412,0.6045956611633301,0.7783851623535156,1.1393,0.7759,0.4935,0.7562,0.8282,0.8136
